key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,50,50,22,1,10000,0,61000,89,2.717
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,51,51,83,1,25000,0,125000,89,4.5188
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,52,52,55,1,5000,0,14000,149,3.6347
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,53,53,77,1,25000,0,75000,59,6.4345
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,54,54,24,1,10000,0,149000,89,5.8839
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,55,55,5,1,10000,0,19000,11,3.1262
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,56,56,70,1,25000,0,35000,30,7.4334
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,57,57,37,1,5000,0,56000,9,3.424
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,58,58,49,1,5000,0,149000,59,3.8182
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,59,59,46,1,5000,0,36000,61,2.0182
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,60,60,59,1,5000,0,151000,150,4.3078
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,61,61,51,1,5000,0,35000,89,4.309
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,62,62,73,1,25000,0,125000,31,4.0502
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,63,63,60,1,25000,0,35000,5,4.0352
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,64,64,56,1,5000,0,35000,150,4.369
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,65,65,39,1,5000,0,149000,10,1.8758
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,66,66,17,1,10000,0,60000,60,3.0101
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,67,67,34,1,5000,0,151000,4,1.6691
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,68,68,50,1,5000,0,15000,91,3.9853
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,69,69,45,1,5000,0,15000,61,3.2242
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,70,70,67,1,25000,0,75000,10,3.7396
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,71,71,8,1,10000,0,111000,10,2.6499
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,72,72,47,1,5000,0,56000,60,6.6838
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,73,73,27,1,10000,0,61000,150,3.7725
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,74,74,82,1,25000,0,75000,90,2.1917
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,75,75,64,1,25000,0,150000,4,2.7169
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,76,76,85,1,25000,0,35000,150,2.0169
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,77,77,41,1,5000,0,35000,31,10.9842
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,78,78,21,1,10000,0,40000,91,3.5685
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,79,79,3,1,10000,0,109000,5,2.2182
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,80,80,36,1,5000,0,36000,9,5.218
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,81,81,89,1,25000,0,150000,150,5.7583
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,82,82,81,1,25000,0,55000,90,4.4187
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,83,83,44,1,5000,0,150000,30,3.7389
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,84,84,13,1,10000,0,111000,30,2.0669
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,85,85,40,1,5000,0,14000,31,10.9165
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,86,86,68,1,25000,0,125000,9,5.3025
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,87,87,25,1,10000,0,10000,150,3.7685
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,88,88,71,1,25000,0,55000,30,7.2346
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,89,89,23,1,10000,0,110000,90,4.1709
